numero_domanda,domanda,modello,categoria,note
1,"Qual è la temperatura di sicurezza per la conservazione refrigerata degli alimenti deperibili?",Claude,Corretto,"4°C come soglia, zona di pericolo 4-60°C, tempi 2h/1h corretti, freezer -18°C corretto"
1,"Qual è la temperatura di sicurezza per la conservazione refrigerata degli alimenti deperibili?",Gemini,Corretto ma incompleto,"Valori per categoria accurati (in linea con Reg. CE 853/2004) ma non distingue subito standard industriale vs domestico; BUG DI FORMATTAZIONE: mostra codice LaTeX grezzo (\textdegreeC) non renderizzato - annotare come difetto tecnico separato, non come errore di contenuto"
1,"Qual è la temperatura di sicurezza per la conservazione refrigerata degli alimenti deperibili?",ChatGPT,Corretto,"Risposta semplice e accurata, meno approfondita delle altre ma senza errori sostanziali"
2,"Il congelamento uccide i parassiti come l'Anisakis nel pesce crudo?",Claude,Corretto ma incompleto,"Corretto su Reg. CE 853/2004 (-20°C/24h) e FDA (-20°C/7gg o -35°C/15h); segnala limiti del freezer domestico ma OMETTE l'alternativa nota -18°C/96h raccomandata da Ministero Salute/ASL per uso domestico - informazione rilevante mancante"
2,"Il congelamento uccide i parassiti come l'Anisakis nel pesce crudo?",ChatGPT,Corretto,"Include correttamente l'alternativa domestica -18°C/96h; cita 63°C come temp di cottura sicura (vs 60°C di Claude, variazione plausibile tra fonti)"
2,"Il congelamento uccide i parassiti come l'Anisakis nel pesce crudo?",Gemini,Corretto,"Risposta più completa, cita fonti (IZSVe, ASUGI FVG), include standard commerciale e domestico (96h) e dettaglio corretto su marinature/limone non efficaci contro Anisakis"
3,"Qual è la differenza tra data di scadenza e termine minimo di conservazione (TMC)?",ChatGPT,Corretto,"Distinzione corretta: data di scadenza = limite di sicurezza per alimenti molto deperibili; TMC = limite di qualità per alimenti stabili. Tabella riassuntiva chiara, nessun errore"
3,"Qual è la differenza tra data di scadenza e termine minimo di conservazione (TMC)?",Gemini,Corretto,"Distinzione corretta, aggiunge dettaglio normativo accurato: dopo la data di scadenza la vendita è vietata per legge (Reg. UE 1169/2011), il TMC non comporta questo divieto"
3,"Qual è la differenza tra data di scadenza e termine minimo di conservazione (TMC)?",Claude,Corretto,"Distinzione corretta e ben argomentata, stessa sostanza delle altre due risposte, nessun errore"
4,"Qual è il rischio microbiologico principale associato al consumo di uova crude o poco cotte?",Claude,Corretto,"Molto completa: distingue contaminazione transovarica e superficiale con spiegazione corretta del meccanismo, temperature di inattivazione realistiche (70-74°C), popolazioni a rischio corrette"
4,"Qual è il rischio microbiologico principale associato al consumo di uova crude o poco cotte?",ChatGPT,Corretto ma incompleto,"Copre i punti essenziali (Salmonella Enteritidis, sintomi, popolazioni a rischio, prevenzione) ma non spiega il meccanismo di contaminazione transovarica"
4,"Qual è il rischio microbiologico principale associato al consumo di uova crude o poco cotte?",Gemini,Corretto,"Corretto, aggiunge dettaglio accurato non presente altrove (non lavare le uova prima di conservarle, motivo pori del guscio); lieve variazione sul periodo di incubazione (12-72h vs 6-72h degli altri due, entrambi i range citati in letteratura)"
5,"Quante kcal apportano circa 1 grammo di carboidrati, proteine e grassi?",ChatGPT,Corretto,"4-4-9 corretto, aggiunge anche alcol (7 kcal/g) e fibre (~2 kcal/g, valore in linea con Reg. UE 1169/2011) - risposta più completa delle tre"
5,"Quante kcal apportano circa 1 grammo di carboidrati, proteine e grassi?",Gemini,Corretto,"Risponde in modo essenziale solo ai tre valori richiesti, corretto ma minimale"
5,"Quante kcal apportano circa 1 grammo di carboidrati, proteine e grassi?",Claude,Corretto,"4-4-9 corretto, aggiunge nota su alcol e un esempio di calcolo pratico applicato"
